Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,69.080002,69.379997,65.739998,69.379997,69.379997,9992200
2015-02-03,67.300003,68.970001,66.699997,67.970001,67.970001,8797300
2015-02-04,68.800003,72.230003,68.800003,71.699997,71.699997,6394900
2015-02-05,71.290001,71.349998,68.629997,69.599998,69.599998,5159600
2015-02-06,69.040001,69.330002,67.139999,67.580002,67.580002,6423600
2015-02-09,65.699997,66.669998,63.759998,64.570000,64.570000,7972300
2015-02-10,65.400002,67.709999,65.230003,67.629997,67.629997,5488300
2015-02-11,68.339996,68.580002,66.570000,67.120003,67.120003,4394800
2015-02-12,66.010002,67.550003,64.849998,67.339996,67.339996,4416500
2015-02-13,66.110001,66.589996,65.389999,66.230003,66.230003,4363900
2015-02-17,66.500000,67.430000,64.720001,64.930000,64.930000,4447300
2015-02-18,65.900002,66.739998,64.500000,66.720001,66.720001,4449300
2015-02-19,68.449997,68.919998,66.040001,66.089996,66.089996,4806200
2015-02-20,66.089996,68.279999,65.519997,68.010002,68.010002,4697100
2015-02-23,69.029999,69.830002,67.980003,68.839996,68.839996,5117000
2015-02-24,67.949997,71.379997,67.269997,70.889999,70.889999,5185600
2015-02-25,70.559998,70.790001,68.669998,68.690002,68.690002,4416900
2015-02-26,69.629997,69.699997,66.389999,67.419998,67.419998,7527400
2015-02-27,67.510002,67.610001,64.709999,65.180000,65.180000,5823900
2015-03-02,65.180000,67.139999,65.180000,66.809998,66.809998,5052400
2015-03-03,66.199997,69.040001,66.099998,69.000000,69.000000,6008400
2015-03-04,68.370003,69.129997,67.589996,68.669998,68.669998,4579200
2015-03-05,69.300003,69.309998,67.330002,67.919998,67.919998,3902500
2015-03-06,67.660004,68.309998,66.540001,66.669998,66.669998,2369900
2015-03-09,66.900002,67.470001,65.820000,66.150002,66.150002,4611300
2015-03-10,65.769997,65.980003,64.300003,64.610001,64.610001,4079000
2015-03-11,65.050003,66.269997,64.779999,65.970001,65.970001,4881000
2015-03-12,66.190002,67.959999,66.080002,67.739998,67.739998,4361100
2015-03-13,68.019997,69.110001,67.410004,67.570000,67.570000,4762900
2015-03-16,68.220001,68.919998,67.410004,67.919998,67.919998,4283700
2015-03-17,68.459999,69.250000,67.660004,69.089996,69.089996,5052300
2015-03-18,69.320000,69.550003,67.550003,68.099998,68.099998,5664400
2015-03-19,68.830002,70.309998,68.190002,70.089996,70.089996,5548500
2015-03-20,69.389999,70.300003,68.860001,69.449997,69.449997,10443600
2015-03-23,69.769997,69.870003,67.500000,67.610001,67.610001,5260000
2015-03-24,67.330002,68.419998,66.839996,67.629997,67.629997,4282800
2015-03-25,67.550003,67.570000,65.290001,65.559998,65.559998,5417900
2015-03-26,64.000000,65.190002,63.090000,64.970001,64.970001,5993100
2015-03-27,65.510002,67.800003,65.510002,67.750000,67.750000,5121000
2015-03-30,68.250000,68.750000,67.580002,68.190002,68.190002,3393400
2015-03-31,67.949997,68.099998,66.769997,67.250000,67.250000,3272400
2015-04-01,65.059998,65.849998,63.750000,64.010002,64.010002,7428000
2015-04-02,64.239998,64.540001,61.730000,61.880001,61.880001,7559400
2015-04-06,60.639999,61.180000,59.470001,60.119999,60.119999,8067700
2015-04-07,60.580002,61.419998,59.290001,59.570000,59.570000,4870900
2015-04-08,59.849998,61.000000,59.700001,60.549999,60.549999,6791200
2015-04-09,62.259998,62.919998,60.560001,61.160000,61.160000,8906200
2015-04-10,61.290001,62.160000,61.000000,61.049999,61.049999,3731800
2015-04-13,60.570000,62.000000,60.400002,61.009998,61.009998,4808900
2015-04-14,60.490002,61.000000,59.639999,60.250000,60.250000,4807600
2015-04-15,61.650002,61.990002,60.349998,60.990002,60.990002,6011800
2015-04-16,60.950001,62.939999,60.720001,62.200001,62.200001,4452500
2015-04-17,61.689999,62.549999,61.430000,61.490002,61.490002,4091200
2015-04-20,62.000000,62.500000,61.060001,62.400002,62.400002,4736100
2015-04-21,62.700001,63.919998,62.080002,63.700001,63.700001,5716600
2015-04-22,63.799999,64.239998,62.900002,64.019997,64.019997,6286000
2015-04-23,62.740002,64.099998,62.310001,62.799999,62.799999,8683800
2015-04-24,63.439999,64.949997,63.400002,63.509998,63.509998,8820000
2015-04-27,62.939999,63.470001,61.740002,61.980000,61.980000,4915300
2015-04-28,61.799999,61.950001,59.930000,61.419998,61.419998,4211900
2015-04-29,61.000000,61.270000,57.950001,59.869999,59.869999,7502800
2015-04-30,59.900002,61.290001,59.330002,59.740002,59.740002,7179900
2015-05-01,60.340000,61.959999,59.919998,61.400002,61.400002,4519800
2015-05-04,61.939999,62.180000,60.590000,60.919998,60.919998,3769700
2015-05-05,59.910000,60.480000,58.930000,59.230000,59.230000,3617200
2015-05-06,59.110001,59.990002,57.700001,59.439999,59.439999,4303600
2015-05-07,59.810001,62.790001,59.810001,62.520000,62.520000,7861100
2015-05-08,62.240002,63.900002,62.070000,62.439999,62.439999,4829000
2015-05-11,62.700001,63.639999,62.160000,62.950001,62.950001,2726500
2015-05-12,62.250000,62.349998,61.490002,61.860001,61.860001,4355100
2015-05-13,62.450001,63.450001,61.060001,61.230000,61.230000,4511600
2015-05-14,61.599998,62.160000,61.169998,61.750000,61.750000,3722900
2015-05-15,62.209999,62.580002,61.400002,61.599998,61.599998,2803500
2015-05-18,61.630001,62.279999,61.389999,62.250000,62.250000,4207300
2015-05-19,62.740002,63.220001,60.720001,60.810001,60.810001,4842100
2015-05-20,60.570000,60.580002,54.220001,54.540001,54.540001,22711300
2015-05-21,54.599998,55.369999,54.080002,54.130001,54.130001,10723100
2015-05-22,54.419998,54.630001,53.110001,53.689999,53.689999,6738900
2015-05-26,54.099998,54.099998,51.680000,51.919998,51.919998,11236700
2015-05-27,52.369999,54.000000,52.250000,53.700001,53.700001,6443600
2015-05-28,53.700001,54.169998,53.279999,53.490002,53.490002,4948800
2015-05-29,53.560001,54.799999,52.799999,54.590000,54.590000,7309900
2015-06-01,54.759998,56.889999,54.070000,56.310001,56.310001,9487300
2015-06-02,55.119999,56.369999,54.360001,55.950001,55.950001,6719800
2015-06-03,56.189999,56.389999,55.310001,55.869999,55.869999,3668100
2015-06-04,55.500000,56.369999,53.990002,54.570000,54.570000,7131100
2015-06-05,54.619999,54.939999,53.830002,54.090000,54.090000,4867100
2015-06-08,53.480000,53.599998,51.029999,51.730000,51.730000,9231900
2015-06-09,50.349998,52.900002,49.849998,52.580002,52.580002,12212200
2015-06-10,52.320000,53.099998,51.470001,52.419998,52.419998,6406700
2015-06-11,52.910000,53.529999,52.330002,52.500000,52.500000,3370900
2015-06-12,52.000000,53.369999,52.000000,52.869999,52.869999,4097900
2015-06-15,52.490002,53.009998,51.869999,52.250000,52.250000,3199400
2015-06-16,52.250000,52.560001,50.849998,51.230000,51.230000,4767500
2015-06-17,51.200001,51.840000,50.689999,51.320000,51.320000,3712200
2015-06-18,51.430000,52.080002,51.009998,52.009998,52.009998,4278600
2015-06-19,52.639999,53.959999,52.400002,53.250000,53.250000,5680000
2015-06-22,54.580002,55.180000,53.840000,54.799999,54.799999,6806400
2015-06-23,55.840000,56.270000,54.700001,55.230000,55.230000,5349400
2015-06-24,55.119999,55.849998,54.299999,54.459999,54.459999,3987600
