Date,Open,High,Low,Close,Adj Close,Volume
2015-02-02,48.580002,48.930000,46.209999,48.720001,46.332962,22413100
2015-02-03,47.299999,48.160000,46.549999,47.500000,45.172729,16678900
2015-02-04,48.619999,49.790001,48.230000,49.459999,47.036705,11836800
2015-02-05,49.459999,49.459999,47.599998,48.810001,46.512600,9220900
2015-02-06,48.840000,49.470001,47.889999,48.150002,45.883663,8650100
2015-02-09,46.410000,47.240002,45.950001,46.529999,44.339912,12961900
2015-02-10,47.400002,48.380001,46.900002,48.049999,45.788364,9085300
2015-02-11,48.790001,48.950001,47.349998,47.590000,45.350021,10060200
2015-02-12,46.750000,48.500000,46.400002,47.880001,45.626362,9542800
2015-02-13,47.529999,48.400002,46.650002,48.389999,46.112366,9895700
2015-02-17,48.770000,49.450001,47.860001,48.009998,45.750248,7260500
2015-02-18,48.599998,49.450001,48.180000,49.310001,46.989056,8752700
2015-02-19,50.779999,50.799999,49.590000,49.779999,47.436943,11462600
2015-02-20,49.810001,51.119999,49.130001,51.020000,48.618568,10537900
2015-02-23,51.750000,52.200001,50.950001,51.310001,48.894924,9508700
2015-02-24,50.290001,51.560001,49.360001,51.520000,49.095047,13916700
2015-02-25,51.299999,51.490002,49.459999,49.730000,47.389294,9577000
2015-02-26,50.380001,50.380001,49.020000,49.349998,47.027168,7577300
2015-02-27,49.000000,49.400002,47.849998,47.900002,45.645428,9396400
2015-03-02,48.200001,48.570000,47.849998,48.310001,46.036129,11482900
2015-03-03,47.900002,49.029999,47.750000,48.770000,46.474476,9051200
2015-03-04,48.849998,48.959999,47.980000,48.950001,46.646011,6711000
2015-03-05,49.189999,49.200001,47.779999,48.400002,46.121891,7041000
2015-03-06,48.330002,48.939999,47.900002,48.000000,45.740723,7002300
2015-03-09,48.049999,48.580002,47.580002,47.919998,45.664482,7460200
2015-03-10,47.500000,47.580002,46.470001,46.740002,44.540031,9337100
2015-03-11,46.900002,47.889999,46.580002,47.389999,45.159435,6630300
2015-03-12,47.570000,48.720001,47.560001,48.680000,46.388721,7133500
2015-03-13,48.750000,49.490002,48.279999,49.220001,46.903297,9188000
2015-03-16,49.770000,50.450001,49.450001,50.220001,47.856232,10897800
2015-03-17,52.630001,54.180000,52.500000,53.689999,51.162899,41837900
2015-03-18,53.689999,54.599998,53.340000,54.130001,51.582191,21325000
2015-03-19,54.570000,55.240002,54.450001,55.189999,52.592304,18897700
2015-03-20,55.189999,56.049999,54.860001,55.759998,53.135468,137767200
